"","X","Country","Year","Month","Day","flu_cases","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
"3999",3999,"Bulgaria",2010,5,23,314,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4000",4000,"Bulgaria",2010,10,10,588,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4001",4001,"Bulgaria",2010,8,22,357,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4002",4002,"Bulgaria",2010,9,12,283,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4003",4003,"Bulgaria",2010,1,10,697,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4004",4004,"Bulgaria",2010,10,31,631,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4005",4005,"Bulgaria",2010,7,25,247,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4006",4006,"Bulgaria",2010,8,29,391,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4007",4007,"Bulgaria",2010,5,30,306,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4008",4008,"Bulgaria",2010,8,1,247,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4009",4009,"Bulgaria",2010,3,14,616,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4010",4010,"Bulgaria",2010,7,11,245,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4011",4011,"Bulgaria",2010,1,17,620,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4012",4012,"Bulgaria",2010,3,21,476,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4013",4013,"Bulgaria",2010,11,14,685,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4014",4014,"Bulgaria",2010,4,25,379,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4015",4015,"Bulgaria",2010,5,2,390,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4016",4016,"Bulgaria",2010,9,5,318,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4017",4017,"Bulgaria",2010,5,9,334,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4018",4018,"Bulgaria",2010,2,7,600,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4019",4019,"Bulgaria",2010,4,4,385,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4020",4020,"Bulgaria",2010,12,12,633,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4021",4021,"Bulgaria",2010,9,26,470,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4022",4022,"Bulgaria",2010,3,7,584,11.2,73.7,1.49,7407297,19246713609,"Europe","Eastern Europe"
"4023",4023,"Bulgaria",2011,10,30,397,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4024",4024,"Bulgaria",2011,2,6,1269,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4025",4025,"Bulgaria",2011,5,8,318,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4026",4026,"Bulgaria",2011,5,29,277,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4027",4027,"Bulgaria",2011,6,26,219,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4028",4028,"Bulgaria",2011,10,2,188,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4029",4029,"Bulgaria",2011,10,9,271,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4030",4030,"Bulgaria",2011,7,24,164,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4031",4031,"Bulgaria",2011,1,16,1785,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4032",4032,"Bulgaria",2011,2,20,1140,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4033",4033,"Bulgaria",2011,9,11,113,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4034",4034,"Bulgaria",2011,6,12,227,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4035",4035,"Bulgaria",2011,12,11,473,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4036",4036,"Bulgaria",2011,1,30,1754,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4037",4037,"Bulgaria",2011,9,4,112,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4038",4038,"Bulgaria",2011,2,27,938,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4039",4039,"Bulgaria",2011,2,13,1269,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4040",4040,"Bulgaria",2011,8,7,162,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4041",4041,"Bulgaria",2011,8,21,128,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4042",4042,"Bulgaria",2011,12,4,460,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4043",4043,"Bulgaria",2011,5,22,273,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4044",4044,"Bulgaria",2011,6,5,249,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4045",4045,"Bulgaria",2011,7,31,165,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4046",4046,"Bulgaria",2011,7,10,163,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4047",4047,"Bulgaria",2011,11,27,468,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4048",4048,"Bulgaria",2011,9,25,132,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4049",4049,"Bulgaria",2011,7,17,158,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4050",4050,"Bulgaria",2011,12,18,444,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4051",4051,"Bulgaria",2011,6,19,234,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4052",4052,"Bulgaria",2011,3,20,520,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4053",4053,"Bulgaria",2011,3,13,627,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4054",4054,"Bulgaria",2011,1,2,1042,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4055",4055,"Bulgaria",2011,3,27,424,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4056",4056,"Bulgaria",2011,11,20,430,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4057",4057,"Bulgaria",2011,4,24,285,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4058",4058,"Bulgaria",2011,10,16,335,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4059",4059,"Bulgaria",2011,10,23,343,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4060",4060,"Bulgaria",2011,9,18,117,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4061",4061,"Bulgaria",2011,4,17,280,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4062",4062,"Bulgaria",2011,4,3,341,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4063",4063,"Bulgaria",2011,11,13,449,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4064",4064,"Bulgaria",2011,3,6,814,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4065",4065,"Bulgaria",2011,5,15,303,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4066",4066,"Bulgaria",2011,11,6,441,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4067",4067,"Bulgaria",2011,1,23,2430,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4068",4068,"Bulgaria",2011,7,3,188,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4069",4069,"Bulgaria",2011,8,14,142,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4070",4070,"Bulgaria",2011,1,9,1275,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4071",4071,"Bulgaria",2011,8,28,124,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4072",4072,"Bulgaria",2011,5,1,295,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4073",4073,"Bulgaria",2011,12,25,460,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4074",4074,"Bulgaria",2011,4,10,315,10.9,74.2,1.51,7355231,19573907740,"Europe","Eastern Europe"
"4075",4075,"Bulgaria",2012,12,2,379,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4076",4076,"Bulgaria",2012,1,1,497,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4077",4077,"Bulgaria",2012,5,6,198,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4078",4078,"Bulgaria",2012,9,16,149,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4079",4079,"Bulgaria",2012,12,16,313,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4080",4080,"Bulgaria",2012,9,30,238,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4081",4081,"Bulgaria",2012,11,4,381,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4082",4082,"Bulgaria",2012,11,18,456,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4083",4083,"Bulgaria",2012,7,8,133,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4084",4084,"Bulgaria",2012,2,19,496,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4085",4085,"Bulgaria",2012,10,7,242,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4086",4086,"Bulgaria",2012,1,22,784,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4087",4087,"Bulgaria",2012,5,27,173,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4088",4088,"Bulgaria",2012,7,15,127,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4089",4089,"Bulgaria",2012,11,11,399,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4090",4090,"Bulgaria",2012,6,24,169,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4091",4091,"Bulgaria",2012,5,20,178,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4092",4092,"Bulgaria",2012,1,29,879,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4093",4093,"Bulgaria",2012,12,9,356,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4094",4094,"Bulgaria",2012,12,23,335,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4095",4095,"Bulgaria",2012,10,14,268,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4096",4096,"Bulgaria",2012,10,28,327,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4097",4097,"Bulgaria",2012,9,2,140,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4098",4098,"Bulgaria",2012,8,12,118,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4099",4099,"Bulgaria",2012,2,26,444,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4100",4100,"Bulgaria",2012,8,19,133,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4101",4101,"Bulgaria",2012,6,3,183,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4102",4102,"Bulgaria",2012,2,5,645,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4103",4103,"Bulgaria",2012,1,8,498,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4104",4104,"Bulgaria",2012,12,30,423,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4105",4105,"Bulgaria",2012,7,22,117,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4106",4106,"Bulgaria",2012,7,1,146,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4107",4107,"Bulgaria",2012,9,23,188,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4108",4108,"Bulgaria",2012,4,29,217,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4109",4109,"Bulgaria",2012,6,10,203,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4110",4110,"Bulgaria",2012,6,17,203,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4111",4111,"Bulgaria",2012,4,1,293,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4112",4112,"Bulgaria",2012,11,25,415,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4113",4113,"Bulgaria",2012,3,25,324,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4114",4114,"Bulgaria",2012,4,8,263,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4115",4115,"Bulgaria",2012,2,12,537,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4116",4116,"Bulgaria",2012,4,22,235,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4117",4117,"Bulgaria",2012,10,21,315,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4118",4118,"Bulgaria",2012,7,29,117,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4119",4119,"Bulgaria",2012,8,5,111,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4120",4120,"Bulgaria",2012,3,4,436,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4121",4121,"Bulgaria",2012,5,13,188,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4122",4122,"Bulgaria",2012,1,15,539,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4123",4123,"Bulgaria",2012,4,15,244,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4124",4124,"Bulgaria",2012,8,26,140,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4125",4125,"Bulgaria",2012,3,18,381,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4126",4126,"Bulgaria",2012,9,9,140,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4127",4127,"Bulgaria",2012,3,11,476,10.5,74.5,1.52,7303741,NA,"Europe","Eastern Europe"
"4128",4128,"Bulgaria",2013,6,23,140,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4129",4129,"Bulgaria",2013,1,27,559,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4130",4130,"Bulgaria",2013,11,24,371,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4131",4131,"Bulgaria",2013,8,4,133,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4132",4132,"Bulgaria",2013,12,8,443,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4133",4133,"Bulgaria",2013,7,28,130,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4134",4134,"Bulgaria",2013,2,3,678,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4135",4135,"Bulgaria",2013,11,17,411,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4136",4136,"Bulgaria",2013,1,20,498,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4137",4137,"Bulgaria",2013,4,28,230,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4138",4138,"Bulgaria",2013,12,15,477,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4139",4139,"Bulgaria",2013,7,21,140,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4140",4140,"Bulgaria",2013,2,10,776,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4141",4141,"Bulgaria",2013,11,10,401,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4142",4142,"Bulgaria",2013,12,22,618,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4143",4143,"Bulgaria",2013,5,26,163,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4144",4144,"Bulgaria",2013,1,13,438,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4145",4145,"Bulgaria",2013,8,11,147,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4146",4146,"Bulgaria",2013,4,14,332,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4147",4147,"Bulgaria",2013,12,29,790,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4148",4148,"Bulgaria",2013,11,3,443,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4149",4149,"Bulgaria",2013,5,5,213,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4150",4150,"Bulgaria",2013,7,14,135,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4151",4151,"Bulgaria",2013,1,6,389,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4152",4152,"Bulgaria",2013,2,17,732,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4153",4153,"Bulgaria",2013,10,27,413,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4154",4154,"Bulgaria",2013,7,7,131,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4155",4155,"Bulgaria",2013,6,9,156,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4156",4156,"Bulgaria",2013,8,18,160,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4157",4157,"Bulgaria",2013,2,24,702,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4158",4158,"Bulgaria",2013,4,7,334,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4159",4159,"Bulgaria",2013,10,20,363,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4160",4160,"Bulgaria",2013,5,12,203,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4161",4161,"Bulgaria",2013,6,30,130,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4162",4162,"Bulgaria",2013,10,13,365,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4163",4163,"Bulgaria",2013,8,25,167,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4164",4164,"Bulgaria",2013,3,3,647,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4165",4165,"Bulgaria",2013,6,16,161,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4166",4166,"Bulgaria",2013,10,6,332,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4167",4167,"Bulgaria",2013,6,2,150,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4168",4168,"Bulgaria",2013,9,1,161,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4169",4169,"Bulgaria",2013,9,8,158,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4170",4170,"Bulgaria",2013,3,31,348,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4171",4171,"Bulgaria",2013,3,10,656,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4172",4172,"Bulgaria",2013,5,19,184,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4173",4173,"Bulgaria",2013,9,29,262,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4174",4174,"Bulgaria",2013,9,15,160,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4175",4175,"Bulgaria",2013,3,17,549,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4176",4176,"Bulgaria",2013,9,22,214,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4177",4177,"Bulgaria",2013,3,24,425,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4178",4178,"Bulgaria",2013,4,21,270,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4179",4179,"Bulgaria",2013,12,1,367,10.1,74.6,1.54,7252539,NA,"Europe","Eastern Europe"
"4180",4180,"Bulgaria",2014,2,23,643,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4181",4181,"Bulgaria",2014,3,30,370,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4182",4182,"Bulgaria",2014,2,16,889,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4183",4183,"Bulgaria",2014,6,8,226,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4184",4184,"Bulgaria",2014,7,13,189,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4185",4185,"Bulgaria",2014,10,5,585,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4186",4186,"Bulgaria",2014,11,16,495,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4187",4187,"Bulgaria",2014,4,6,376,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4188",4188,"Bulgaria",2014,3,2,505,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4189",4189,"Bulgaria",2014,2,9,1005,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4190",4190,"Bulgaria",2014,11,30,408,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4191",4191,"Bulgaria",2014,9,28,384,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4192",4192,"Bulgaria",2014,8,10,172,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4193",4193,"Bulgaria",2014,7,27,165,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4194",4194,"Bulgaria",2014,5,25,256,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4195",4195,"Bulgaria",2014,2,2,1206,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4196",4196,"Bulgaria",2014,4,13,312,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4197",4197,"Bulgaria",2014,11,2,556,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4198",4198,"Bulgaria",2014,3,16,539,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4199",4199,"Bulgaria",2014,3,9,563,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4200",4200,"Bulgaria",2014,7,6,199,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4201",4201,"Bulgaria",2014,8,3,164,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4202",4202,"Bulgaria",2014,1,26,1407,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4203",4203,"Bulgaria",2014,4,20,298,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4204",4204,"Bulgaria",2014,12,21,525,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4205",4205,"Bulgaria",2014,6,29,208,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4206",4206,"Bulgaria",2014,1,19,2008,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4207",4207,"Bulgaria",2014,12,7,503,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4208",4208,"Bulgaria",2014,4,27,326,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4209",4209,"Bulgaria",2014,9,21,310,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4210",4210,"Bulgaria",2014,10,12,598,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4211",4211,"Bulgaria",2014,1,12,1516,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4212",4212,"Bulgaria",2014,8,17,175,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4213",4213,"Bulgaria",2014,6,22,210,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4214",4214,"Bulgaria",2014,1,5,999,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4215",4215,"Bulgaria",2014,12,28,650,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4216",4216,"Bulgaria",2014,8,31,202,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4217",4217,"Bulgaria",2014,5,4,378,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4218",4218,"Bulgaria",2014,9,14,237,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4219",4219,"Bulgaria",2014,11,23,502,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4220",4220,"Bulgaria",2014,6,1,250,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4221",4221,"Bulgaria",2014,11,9,569,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4222",4222,"Bulgaria",2014,6,15,211,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4223",4223,"Bulgaria",2014,5,11,295,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4224",4224,"Bulgaria",2014,5,18,271,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4225",4225,"Bulgaria",2014,8,24,188,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4226",4226,"Bulgaria",2014,9,7,215,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4227",4227,"Bulgaria",2014,3,23,404,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4228",4228,"Bulgaria",2014,7,20,174,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4229",4229,"Bulgaria",2014,12,14,470,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4230",4230,"Bulgaria",2014,10,26,506,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4231",4231,"Bulgaria",2014,10,19,534,9.7,74.7,1.56,7201308,NA,"Europe","Eastern Europe"
"4232",4232,"Bulgaria",2015,3,1,998,9.3,74.8,1.57,7149787,NA,"Europe","Eastern Europe"
"4233",4233,"Bulgaria",2015,2,22,1121,9.3,74.8,1.57,7149787,NA,"Europe","Eastern Europe"
"4234",4234,"Bulgaria",2015,3,8,806,9.3,74.8,1.57,7149787,NA,"Europe","Eastern Europe"
"4235",4235,"Bulgaria",2015,3,15,757,9.3,74.8,1.57,7149787,NA,"Europe","Eastern Europe"
"4236",4236,"Bulgaria",2015,2,15,1019,9.3,74.8,1.57,7149787,NA,"Europe","Eastern Europe"
"4237",4237,"Bulgaria",2015,3,22,731,9.3,74.8,1.57,7149787,NA,"Europe","Eastern Europe"
"4238",4238,"Bulgaria",2015,2,8,720,9.3,74.8,1.57,7149787,NA,"Europe","Eastern Europe"
"4239",4239,"Bulgaria",2015,3,29,667,9.3,74.8,1.57,7149787,NA,"Europe","Eastern Europe"
